"x","y","xend","yend","clust","line"
71.5,1.20214268666694,72,1.20214268666694,1,0
72,1.20214268666694,72,0,1,0
72.125,2.77732323353296,73.5,2.77732323353296,1,0
73.5,2.77732323353296,73.5,2.02757033011101,1,0
73.5,2.02757033011101,73,2.02757033011101,1,0
73,2.02757033011101,73,0,1,0
73.5,2.02757033011101,74,2.02757033011101,1,0
74,2.02757033011101,74,0,1,0
76.34375,4.00864153541433,80.5625,4.00864153541433,1,0
80.5625,4.00864153541433,80.5625,3.38880526718196,1,0
80.5625,3.38880526718196,76.625,3.38880526718196,1,0
76.625,3.38880526718196,76.625,2.21986242025858,1,0
76.625,2.21986242025858,75,2.21986242025858,1,0
75,2.21986242025858,75,0,1,0
76.625,2.21986242025858,78.25,2.21986242025858,1,0
78.25,2.21986242025858,78.25,1.84369518819342,1,0
78.25,1.84369518819342,76.75,1.84369518819342,1,0
76.75,1.84369518819342,76.75,1.39636710884506,1,0
76.75,1.39636710884506,76,1.39636710884506,1,0
76,1.39636710884506,76,0,1,0
76.75,1.39636710884506,77.5,1.39636710884506,1,0
77.5,1.39636710884506,77.5,0.51205070833779,1,0
77.5,0.51205070833779,77,0.51205070833779,1,0
77,0.51205070833779,77,0,1,0
77.5,0.51205070833779,78,0.51205070833779,1,0
78,0.51205070833779,78,0,1,0
78.25,1.84369518819342,79.75,1.84369518819342,1,0
79.75,1.84369518819342,79.75,1.55114186322914,1,0
79.75,1.55114186322914,79,1.55114186322914,1,0
79,1.55114186322914,79,0,1,0
79.75,1.55114186322914,80.5,1.55114186322914,1,0
80.5,1.55114186322914,80.5,0.995145048379905,1,0
80.5,0.995145048379905,80,0.995145048379905,1,0
80,0.995145048379905,80,0,1,0
80.5,0.995145048379905,81,0.995145048379905,1,0
81,0.995145048379905,81,0,1,0
80.5625,3.38880526718196,84.5,3.38880526718196,1,0
84.5,3.38880526718196,84.5,2.39155678389648,1,0
84.5,2.39155678389648,82.75,2.39155678389648,1,0
82.75,2.39155678389648,82.75,1.17096072497896,1,0
82.75,1.17096072497896,82,1.17096072497896,1,0
82,1.17096072497896,82,0,1,0
82.75,1.17096072497896,83.5,1.17096072497896,1,0
83.5,1.17096072497896,83.5,1.01742468004332,1,0
83.5,1.01742468004332,83,1.01742468004332,1,0
83,1.01742468004332,83,0,1,0
83.5,1.01742468004332,84,1.01742468004332,1,0
84,1.01742468004332,84,0,1,0
84.5,2.39155678389648,86.25,2.39155678389648,1,0
86.25,2.39155678389648,86.25,1.77896330388994,1,0
86.25,1.77896330388994,85,1.77896330388994,1,0
85,1.77896330388994,85,0,1,0
86.25,1.77896330388994,87.5,1.77896330388994,1,0
87.5,1.77896330388994,87.5,1.61046384695469,1,0
87.5,1.61046384695469,86.5,1.61046384695469,1,0
86.5,1.61046384695469,86.5,0.847625871790059,1,0
86.5,0.847625871790059,86,0.847625871790059,1,0
86,0.847625871790059,86,0,1,0
86.5,0.847625871790059,87,0.847625871790059,1,0
87,0.847625871790059,87,0,1,0
87.5,1.61046384695469,88.5,1.61046384695469,1,0
88.5,1.61046384695469,88.5,1.21063885504596,1,0
88.5,1.21063885504596,88,1.21063885504596,1,0
88,1.21063885504596,88,0,1,0
88.5,1.21063885504596,89,1.21063885504596,1,0
89,1.21063885504596,89,0,1,0
102.212890625,5.71451529231142,138.01953125,5.71451529231142,1,0
138.01953125,5.71451529231142,138.01953125,5.55592318412649,1,0
138.01953125,5.55592318412649,113.51171875,5.55592318412649,1,0
113.51171875,5.55592318412649,113.51171875,4.34163143368357,1,0
113.51171875,4.34163143368357,97.234375,4.34163143368357,1,0
97.234375,4.34163143368357,97.234375,3.45781594107696,1,0
97.234375,3.45781594107696,92.6875,3.45781594107696,1,0
92.6875,3.45781594107696,92.6875,2.15771004082332,1,0
92.6875,2.15771004082332,90.75,2.15771004082332,1,0
90.75,2.15771004082332,90.75,1.55104432224777,1,0
90.75,1.55104432224777,90,1.55104432224777,1,0
90,1.55104432224777,90,0,1,0
90.75,1.55104432224777,91.5,1.55104432224777,1,0
91.5,1.55104432224777,91.5,1.05985235480962,1,0
91.5,1.05985235480962,91,1.05985235480962,1,0
91,1.05985235480962,91,0,1,0
91.5,1.05985235480962,92,1.05985235480962,1,0
92,1.05985235480962,92,0,1,0
92.6875,2.15771004082332,94.625,2.15771004082332,1,0
94.625,2.15771004082332,94.625,1.78656738220804,1,0
94.625,1.78656738220804,93.5,1.78656738220804,1,0
93.5,1.78656738220804,93.5,1.24167087556905,1,0
93.5,1.24167087556905,93,1.24167087556905,1,0
93,1.24167087556905,93,0,1,0
93.5,1.24167087556905,94,1.24167087556905,1,0
94,1.24167087556905,94,0,1,0
94.625,1.78656738220804,95.75,1.78656738220804,1,0
95.75,1.78656738220804,95.75,1.43948622629925,1,0
95.75,1.43948622629925,95,1.43948622629925,1,0
95,1.43948622629925,95,0,1,0
95.75,1.43948622629925,96.5,1.43948622629925,1,0
96.5,1.43948622629925,96.5,0.924495030647214,1,0
96.5,0.924495030647214,96,0.924495030647214,1,0
96,0.924495030647214,96,0,1,0
96.5,0.924495030647214,97,0.924495030647214,1,0
97,0.924495030647214,97,0,1,0
97.234375,3.45781594107696,101.78125,3.45781594107696,1,0
101.78125,3.45781594107696,101.78125,2.75701834057736,1,0
101.78125,2.75701834057736,98.875,2.75701834057736,1,0
98.875,2.75701834057736,98.875,1.85566196056402,1,0
